Id	idConcept	N1	N2	N3	N4	N5	N6	UF1	UF2	UF3	UF4	UF5	RT1	RT2	RT3	RT4	RT5	LANG1	LANG2	LANG3	LANG4	LANG5	LANG6	NOTE1	NOTE2	
101	12122			Histoire ecclésiastique Ruf									Rufin d'Aquilée					Church History Ruf(en)	Histoire ecclésiastique Ruf(it)	Historia eclesiástica Ruf(es)	Kerkgeschiedenis Ruf(nl)	Kirchengeschichte Ruf(de)	تاريخ الكنيسة روفينوس(ar)		
102	12362			Préparation évangélique Eus									Eusèbe de Césarée					Praeparatio evangelica Eus(de)	Praeparatio Evangelica Eus(nl)	Preparación evangélica Eus(es)	Préparation évangélique Eus(it)	Preparation for the Gospel Eus(en)	تحضير انجيلي يوسابيوس(ar)		
103	12450			Vie d'Origène Eus									Eusèbe de Césarée					Apology for Origen Eus(en)	Het Leven van Origenes Eus(nl)	Leben des Origenes Eus(de)	Vie d'Origène Eus(es)	Vie d'Origène Eus(it)	حياة أوريجانوس يوسابيوس(ar)		
104	36389		Textes juifs															نصوص يهودية(ar)							
105	12418			Talmud														Talmoed(nl)	Talmud(de)	Talmud(en)	Talmud(es)	Talmud(it)	تلمود(ar)		
106	150167		Textes religieux égyptiens															Egyptian religious texts(en)	نصوص دينية مصرية(ar)						
107	35924			Livre de l'Amdouat				Livre de l'Amdouat	Livre de la salle cachée	Livre des demeures sacrées								Amdoeat(nl)	Amduat(de)	Amduat(en)	Amduat(it)	Libro del Amduat(es)	كتاب امدوات(ar)		
108	178261			Livre des Cavernes				Livre des Quererts										Book of Caverns(en)	Höhlenbuch(de)	Libro de las Cavernas(es)	Libro delle Caverne(it)			Important texte funéraire de l'Égypte antique datant du Nouvel Empire (vers 1200 av. J.-C.).  (Wikipédia)	
109	34269			Textes des Pyramides														Piramideteksten(nl)	Pyramidentexte(de)	 Pyramid Texts(en)	Testi delle piramidi(it)	Textos de las Pirámides(es)	نصوص الأهرامات(ar)		
110	178255			Textes des Sarcophages				Textes des Cercueils										Coffin Texts(en)	Sarcofaagteksten(nl)	Sargtexte(de)	Testi dei Sarcofagi(it)	Textos de los Sarcófagos(es)		Corpus de textes funéraires rédigés en hiéroglyphes cursifs sur certains sarcophages du Moyen Empire. Ils résultent d'une extension des rites funéraires jusque-là réservés au roi, et d'une utilisation des Textes des Pyramides, auxquels s'ajoutent de nouvelles formules. (Wikipédia)	
111	178260				Livre des Deux Chemins													Libro de los dos caminos(es)						Le Livre des deux chemins, écrit vers 2050 av. J.-C., est un des Textes des Sarcophages caractéristique des sarcophages de la nécropole de Deir el-Bersha, en Moyenne-Égypte.  Il est toujours inscrit sur le fond de la cuve, illustré par une carte figurant des chemins et des canaux. Ce texte présente le trajet —par voie fluviale et par voie terrestre— que le défunt doit parcourir pour arriver au lieu de sa renaissance. (Wikipédia)	
112	177926		Textes religieux mésopotamiens																						
113	178069			Nergal et Ereshkigal									Nergal	Ereshkigal											
114	178245			Udug-hul				Utukkū Lemnūtu										Udug-hul(en)						Corpus mésopotamien d'incantations contre le démon Udug et autres créatures malfaisantes (fantômes, etc...).	
115	12423	textes littéraires											littérature	histoire du texte				Literarische Texte(de)	Literary texts(en)	litteraire teksten(nl)	Testi letterari(it)	Textos literarios(es)	نصوص أدبية(ar)		
116	11865		Anonymes															anonieme teksten(nl)	Anónimos(es)	Anonyme Texte(de)	Anonymous texts(en)	Testi anonimi(it)	نصوص مُغفَلة(ar)	Texte mythologique mésopotamien. Il a été élaboré en Basse Mésopotamie dans la première moitié du IIe millénaire av. J.-C., et est rédigé en akkadien. Il raconte comment débutèrent de manière houleuse les amours entre Nergal et Ereshkigal, les deux divinités des Enfers. (Wikipédia)	
117	11861			Anecdota Graeca														Anecdota Graeca(de)	Anecdota Graeca(en)	Anecdota Graeca(it)	Anecdota Graeca(nl)	Anécdota Graeca(es)	أنيكدوتا غرايكا(ar)		
118	11867			Anthologie de Planude														Anthologia Planudea(de)	Anthologia Planudea(en)	Anthologia Planudea(nl)	Anthologie de Planude(it)	Antologíia de Planude(es)	مجموعة بلانوديا(ar)		
119	11868			Anthologie grecque				Anthologie Grecque										Anthologie grecque(it)	Antología griega(es)	Greek Anthology(en)	Griechische Anthologie(de)	Griekse Anthologie(nl)	مختارات شعرية يونانية(ar)		
120	11869			Anthologie latine														Anthologia latina(de)	Anthologia latina(en)	Anthologia Latina(nl)	Anthologie latine(it)	Antología latina(es)	مختارات شعرية لاتينية(ar)		
121	11870			Anthologie palatine														Anthologia palatina(de)	Anthologia Palatina(nl)	Anthologie palatine(it)	Antología palatina(es)	Palatine Anthology(en)	البلاتينات(ar)		
122	11932			Cadastre d'Orange														Cadastral maps of Orange(en)	Cadastre d'Orange(it)	Catastro de Orange(es)	kadaster van Orange(nl)	Katasterpläne von Orange(de)	سِجِل أورانج المساحي(ar)		
123	11941			Carmina latina epigraphica														Carmina latina epigráfica(es)	Carmina latina epigraphica(de)	Carmina latina epigraphica(en)	Carmina latina epigraphica(it)	Carmina Latina Epigraphica(nl)	كارمينا لاتينا إيبيغرافيكا(ar)		
124	11970			Corpus hermétique				Corpus hermeticum					Hermès Trismégiste	hermétisme				Corpus Hermeticum(de)	Corpus Hermeticum(en)	Corpus Hermeticum(es)	Corpus Hermeticum(it)	Corpus Hermeticum(nl)	مدونات هرمسية(ar)	Recueil de traités mystico-philosophiques attribués à Hermès Trismégiste et datant de la période hellénistique. (ES)	
125	11976			Cycle épique														Ciclo épico(es)	Cycle épique(it)	Cyclische Epen(nl)	Epic cycle(en)	Epische Zyklen(de)	مجموعة ملحمية(ar)	On appelle cycle épique un ensemble d'épopées ayant trait au même thème.  Plus spécifiquement, l'expression désigne le Cycle troyen, c'est-à-dire l'ensemble des épopées relatives à la guerre de Troie. (d'après Wikipédia)	
126	11946				Chants cypriens													Cantos ciprianos(es)	Chants cypriens(it)	Kypria(de)	Kypria(en)	Kypria(nl)	أناشيد قبرصية(ar)		
127	12046				Epigones													Epigonen(de)	Epigones(en)	Epigones(es)	Epigones(it)	Epigones(nl)	ملاحم إيبيغوني(ar)		
128	12064				Ethiopide													Aethiopis(nl)	Aithiopis(de)	Aithiopis(en)	Ethiopide(it)	Etiópida(es)	ملحمة إثيوبيس(ar)		
129	12275				Oedipodie													Edipodia(es)	Oedipodea(en)	Oedipodeia(de)	Oedipodeia(nl)	Oedipodie(it)	ملحمة أوديبوديا(ar)		
130	12303				Petite Iliade													Kleine Ilias(de)	Kleine Ilias(nl)	Little Iliad(en)	Pequeña Iliada(es)	Petite Iliade(it)	الإلياذة الصغيرة(ar)		
131	12353				Prise de Troie													Fall von Troja(de)	Prise de Troie(it)	Sack of Troy(en)	Toma de Troya(es)	Val Van Troje(nl)	سقوط طروادة(ar)		
132	12373				Retours													Heimkehrer(de)	Nostoi(nl)	Regresos(es)	Retours(it)	Returns(en)	العوائد(ar)		
133	12419				Telegonie													Telegonía(es)	Telegonie(de)	Telegonie(it)	Telegonie(nl)	Telegony(en)	تيليغوني(ar)	Telegonia	
134	12428				Thébaïde (texte)													Tebaida (texto)(es)	Thebaïde(nl)	Thébaïde (texte)(it)	Thebaid (text)(en)	Thebais (Text)(de)	(طيبة (نص(ar)		
